MAPID,LATITUDE,LONGITUDE,NAME,LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME
DFENG0017,49.236527400000000,-123.084037000000000,Fountain location:Elgin & 37th,Northwest corner of Elgin & 37th,Engineering,May-October,N,Elgin&37th.jpg
DFENG0028,49.289777030000003,-123.141286550000000,Fountain location:Gilford & Comox,Northwest corner of Gilford & Comox,Engineering,May-October,N,Comox&Gilford.jpg
DFENG0006,49.290498659999997,-123.140225160000000,Fountain location:Gilford & Nelson,Northwest corner of Gilford & Nelson,Engineering,May-October,N,P3011198.jpg
DFENG0029,49.217311700000003,-123.139585999999990,Fountain location:Granville & 59th,Northeast corner of Granville & 59th,Engineering,Year Round,N,Granville&59th.jpg
DFENG0019,49.281542000000002,-123.119936999999990,Fountain location:Granville & Robson,Northwest corner of Granville & Robson,Engineering,Year Round,N,Granville Robson 2.JPG
DFENG0020,49.281385999999998,-123.097230999999990,Fountain location:Hastings & Gore,Northeast corner of Hastings & Gore,Engineering,Year Round,Y,Hastings&Gore.jpg
DFENG0034,49.280997999999997,-123.054447999999990,Fountain location:Hastings & Kamloops,Northeast corner of Hastings & Kamloops,Engineering,May-October,N,Hastings Kamploops 1.JPG
DFENG0023,49.261059400000001,-123.100784000000000,Fountain location:Main & 11th,Southeast corner of Main & 11th,Engineering,Year Round,N,Main&11th.jpg
DFENG0007,49.285710229999999,-123.133336750000000,Fountain location:Nelson & Broughton,In mini park at Nelson & Broughton,Engineering,May-October,N,P2130403.JPG
DFENG0008,49.282384999999998,-123.140508000000000,Fountain location:Nicola & Beach,Northeast corner of Nicola & Beach,Engineering,May-October,N,Nicola Beach 1.JPG
DFENG0009,49.283065989999997,-123.122290539999990,Fountain location:Robson & Burrard,Northeast corner of Robson & Burrard,Engineering,May-October,Y,P2190667.JPG
DFENG0010,49.293457160000003,-123.138270019999990,Fountain location:Robson & Chilco,In mini park at Robson & Chilco,Engineering,May-October,N,P2020133.JPG
DFENG0030,49.277572399999997,-123.087389000000000,Fountain location:Union & Hawks,In mini park at Union & Hawks,Engineering,Year Round,N,Union&Hawks.jpg
DFENG0031,49.262293999999997,-123.114544000000000,Fountain location: Cambie & 10th,Northeast corner of Cambie & 10th,Engineering,Year Round,N,
DFENG0039,49.281882000000003,-123.133951999999990,Fountain location: Davie & Bute (Jim Deva Plaza),1200 Davie Street,Engineering,Year Round,Y,
DFENG0037,49.229343999999998,-123.127987000000000,Fountain location: Oak & 46th,Northeast corner of Oak & 46th,Engineering,Year Round,N,Oak&46th.jpg
DFENG0040,49.271935999999997,-123.179475000000000,Fountain location: Point Grey Road & Waterloo,1600 Waterloo St,Engineering,Year Round,N,
DFENG0038,49.279671999999998,-123.123513000000000,Fountain location:Nelson & Howe,Southeast corner of Nelson & Howe,Engineering,Year Round,N,
DFENG0036,49.271673999999997,-123.167863000000000,Fountain location:Pt.Grey & MacDonald,Northwest corner of Pt. Grey & MacDonald,Engineering,Year Round,N,Pt. Grey&MacDonald.jpg
DFENG0035,49.262627999999999,-123.089225000000000,Fountian Location: Fraser & Broadway ,Northwest corner of Fraser & Broadway ,Engineering,Year Round,N,
